group	fill	clickSelects
1	#DE5E93	6
2	#CD1076	25
3	#EF9CBA	29
4	#EF9CBA	29
5	#EF9CBA	29
6	#FFFEFE	3
7	#FFFEFE	3
8	#FFFFFF	2
9	#FFFFFF	2
10	#F9CDDB	9
11	#FFFFFF	2
12	#FFFFFF	2
13	#FFFFFF	2
14	#FFFFFF	5
15	#FEF9FA	8
16	#FEF9FA	8
17	#FEF9FA	8
18	#FEF9FA	8
19	#FEF9FA	8
20	#FEF9FA	8
21	#FFFEFE	3
22	#DE5E93	6
23	#CD1076	25
24	#EF9CBA	29
25	#EF9CBA	29
26	#EF9CBA	29
27	#FFFEFE	3
28	#FFFEFE	3
29	#FFFFFF	2
30	#FFFFFF	2
31	#F9CDDB	9
32	#FFFFFF	2
33	#FFFFFF	2
34	#FFFFFF	5
35	#F9CDDB	9
36	#FEF9FA	8
37	#FEF9FA	8
38	#FEF9FA	8
39	#FEF9FA	8
40	#FEF9FA	8
41	#FFFEFE	3
42	#DE5E93	6
43	#CD1076	25
44	#EF9CBA	29
45	#EF9CBA	29
46	#EF9CBA	29
47	#FFFEFE	3
48	#FFFEFE	3
49	#FFFFFF	2
50	#FFFFFF	2
51	#F9CDDB	9
52	#FFFFFF	2
53	#FFFFFF	2
54	#FFFFFF	5
55	#F9CDDB	9
56	#FEF9FA	8
57	#FEF9FA	8
58	#FEF9FA	8
59	#FEF9FA	8
60	#FFFEFE	3
62	#EF9CBA	29
64	#FFFFFF	5
65	#FFFFFF	5
66	#FFFFFF	5
67	#FFFFFF	2
69	#FFFFFF	5
75	#EF9CBA	29
76	#EF9CBA	29
77	#EF9CBA	29
78	#FFFEFE	3
79	#FFFEFE	3
80	#FFFFFF	2
83	#FFFFFF	5
84	#FFFFFF	5
85	#FFFFFF	2
87	#FFFFFF	5
93	#EF9CBA	29
94	#EF9CBA	29
95	#EF9CBA	29
96	#FFFEFE	3
97	#FFFEFE	3
98	#FFFFFF	2
99	#FFFFFF	5
102	#FFFFFF	5
103	#FFFFFF	5
106	#FFFFFF	5
113	#EF9CBA	29
114	#EF9CBA	29
115	#EF9CBA	29
116	#FFFEFE	3
117	#FFFEFE	3
118	#FFFFFF	2
119	#FFFFFF	5
122	#FFFFFF	5
123	#FFFFFF	2
125	#FFFFFF	5
132	#EF9CBA	29
133	#EF9CBA	29
134	#EF9CBA	29
135	#FFFEFE	3
136	#FFFEFE	3
137	#FFFFFF	2
138	#FFFFFF	5
139	#FFFFFF	5
142	#FFFFFF	5
143	#FFFFFF	2
145	#FFFFFF	5
152	#EF9CBA	29
154	#EF9CBA	29
155	#EF9CBA	29
156	#FFFEFE	3
157	#FFFEFE	3
158	#FFFFFF	2
159	#FFFFFF	5
160	#FFFFFF	5
163	#FFFFFF	2
165	#FFFFFF	5
173	#EF9CBA	29
175	#EF9CBA	29
176	#FFFEFE	3
177	#FFFEFE	3
178	#FFFFFF	2
179	#FFFFFF	5
180	#FFFFFF	5
181	#FFFFFF	5
184	#FFFFFF	2
186	#FFFFFF	5
197	#EF9CBA	29
198	#FFFEFE	3
199	#FFFEFE	3
200	#FFFFFF	2
201	#FFFFFF	5
202	#FFFFFF	5
203	#FFFFFF	5
207	#FFFFFF	5
219	#FFFFFF	2
220	#FFFEFE	3
221	#FFFFFF	2
222	#FFFFFF	5
223	#FFFFFF	5
224	#FFFFFF	5
225	#FFFFFF	2
226	#CD1076	20
229	#FFFFFF	5
243	#FFFFFF	2
244	#FFFFFF	2
245	#FFFFFF	5
246	#FFFFFF	5
247	#FFFFFF	5
248	#FFFFFF	2
249	#CD1076	20
251	#FFFFFF	5
266	#FFFFFF	2
267	#FFFFFF	5
268	#FFFFFF	5
269	#FFFFFF	5
270	#FFFFFF	2
272	#CD1076	20
273	#CD1076	20
274	#FFFFFF	5
291	#FFFFFF	2
292	#FFFFFF	5
293	#FFFFFF	5
294	#FFFFFF	2
296	#CD1076	20
297	#FFFFFF	36
315	#FFFFFF	2
316	#FFFFFF	5
317	#FFFFFF	2
319	#FFFFFF	5
320	#CD1076	20
321	#FFFFFF	36
332	#FFFFFF	36
344	#FFFFFF	5
345	#FFFFFF	36
346	#FFFFFF	36
357	#FFFFFF	41
368	#FFFFFF	5
370	#FFFFFF	36
371	#FFFFFF	36
382	#FFFFFF	41
389	#FFFFFF	26
394	#FFFFFF	5
396	#FFFFFF	36
397	#FFFFFF	41
408	#FFFFFF	26
415	#FFFFFF	26
419	#FFFFFF	2
422	#FFFFFF	36
423	#FFFFFF	41
434	#FFFFFF	26
442	#FFFFFF	26
443	#FFFFFF	2
449	#FFFFFF	2
450	#FFFFFF	41
461	#FFFFFF	26
469	#FFFFFF	2
470	#FFFFFF	2
476	#FFFFFF	2
477	#FFFFFF	41
488	#FFFFFF	41
497	#FFFFFF	2
498	#FFFFFF	2
504	#FFFFFF	2
505	#FFFFFF	41
516	#FFFFFF	2
525	#FFFFFF	2
527	#FFFFFF	15
532	#DE5E93	6
533	#CD1076	25
535	#EF9CBA	29
536	#EF9CBA	29
537	#EF9CBA	29
538	#FFFEFE	3
539	#FFFEFE	3
540	#FFFFFF	2
541	#FFFFFF	2
542	#FFFFFF	2
543	#CD1076	25
544	#FFFFFF	2
545	#FFFFFF	2
546	#FFFFFF	5
547	#F9CDDB	9
548	#F9CDDB	9
549	#FEF9FA	8
550	#FEF9FA	8
551	#FEF9FA	8
552	#FFFEFE	3
554	#DE5E93	6
555	#CD1076	25
557	#EF9CBA	29
558	#EF9CBA	29
559	#EF9CBA	29
560	#FFFEFE	3
561	#FFFEFE	3
562	#FFFFFF	2
563	#FFFFFF	2
564	#FFFFFF	2
565	#FFFFFF	2
566	#CD1076	25
567	#FFFFFF	2
568	#FFFFFF	5
569	#F9CDDB	9
570	#F9CDDB	9
571	#FEF9FA	8
572	#FEF9FA	8
573	#FFFEFE	3
576	#FFFFFF	38
577	#FFFFFF	2
588	#FFFFFF	2
598	#FFFFFF	2
600	#FFFFFF	15
605	#FFFFFF	2
617	#FFFFFF	2
628	#FFFFFF	15
634	#FFFFFF	13
658	#FFFFFF	15
665	#FFFFFF	2
687	#FFFFFF	15
694	#FFFFFF	2
717	#FFFFFF	2
725	#FFFFFF	2
737	#FFFFFF	13
756	#FFFFFF	2
768	#FFFFFF	13
789	#FFFFFF	2
821	#FFFFFF	2
886	#FFFFFF	27
1225	#DE5E93	6
1226	#CD1076	25
1228	#EF9CBA	29
1229	#EF9CBA	29
1230	#EF9CBA	29
1231	#FFFEFE	3
1232	#FFFEFE	3
1233	#FFFFFF	2
1234	#FFFFFF	2
1235	#FFFFFF	5
1236	#FFFFFF	2
1237	#CD1076	25
1238	#FFFFFF	2
1239	#FFFFFF	5
1240	#CD1076	25
1241	#F9CDDB	9
1242	#F9CDDB	9
1243	#FEF9FA	8
1244	#FFFEFE	3
1247	#DE5E93	6
1248	#CD1076	25
1249	#EF9CBA	29
1250	#EF9CBA	29
1251	#EF9CBA	29
1252	#FFFEFE	3
1253	#FFFEFE	3
1254	#FFFFFF	2
1255	#FFFFFF	5
1256	#FFFFFF	5
1257	#FFFFFF	2
1258	#FFFFFF	2
1259	#CD1076	25
1260	#FFFFFF	5
1261	#CD1076	25
1262	#F9CDDB	9
1263	#F9CDDB	9
1264	#FFFEFE	3
1979	#DE5E93	6
1980	#CD1076	25
1981	#EF9CBA	29
1982	#EF9CBA	29
1983	#EF9CBA	29
1984	#FFFEFE	3
1985	#FFFEFE	3
1986	#FFFFFF	2
1987	#FFFFFF	5
1988	#FFFFFF	5
1989	#FFFFFF	2
1990	#FFFFFF	2
1991	#CD1076	25
1992	#FFFFFF	5
1993	#CD1076	25
1994	#F9CDDB	9
1995	#F9CDDB	9
1996	#FFFEFE	3
2000	#DE5E93	6
2001	#CD1076	25
2002	#EF9CBA	29
2003	#EF9CBA	29
2004	#FFFEFE	3
2005	#FFFEFE	3
2006	#FFFFFF	2
2007	#FFFFFF	5
2008	#FFFFFF	5
2009	#FFFFFF	2
2010	#CD1076	25
2011	#FFFFFF	5
2012	#F9CDDB	9
2013	#F9CDDB	9
2014	#FFFEFE	3
2018	#EF9CBA	29
2318	#DE5E93	6
2319	#DE5E93	6
2320	#EF9CBA	29
2321	#EF9CBA	29
2322	#FFFEFE	3
2323	#FFFEFE	3
2324	#FFFFFF	2
2325	#FFFFFF	5
2326	#FFFFFF	5
2327	#FFFFFF	5
2328	#FFFFFF	2
2329	#CD1076	25
2330	#FFFFFF	5
2331	#F9CDDB	9
2332	#F9CDDB	9
2333	#FFFEFE	3
2337	#EF9CBA	29
2338	#DE5E93	6
2339	#DE5E93	6
2340	#EF9CBA	29
2341	#FFFEFE	3
2342	#FFFEFE	3
2343	#FFFFFF	2
2344	#FFFFFF	5
2345	#FFFFFF	5
2346	#FFFFFF	5
2347	#FFFFFF	2
2348	#FFFFFF	5
2349	#F9CDDB	9
2350	#F9CDDB	9
2351	#FFFEFE	3
2355	#EF9CBA	29
2356	#EF9CBA	29
2357	#DE5E93	6
2358	#DE5E93	6
2359	#EF9CBA	29
2360	#FFFEFE	3
2361	#FFFEFE	3
2362	#FFFFFF	2
2363	#FFFFFF	5
2364	#FFFFFF	5
2365	#FFFFFF	2
2366	#FFFFFF	2
2367	#FFFFFF	5
2368	#F9CDDB	9
2369	#F9CDDB	9
2370	#FFFEFE	3
2374	#EF9CBA	29
2375	#EF9CBA	29
2376	#DE5E93	6
2377	#F9CDDB	9
2378	#FFFEFE	3
2379	#FFFEFE	3
2380	#FFFFFF	2
2381	#FFFFFF	5
2382	#FFFFFF	5
2383	#FFFFFF	2
2384	#FFFFFF	2
2385	#FFFFFF	5
2386	#F9CDDB	9
2387	#FFFEFE	3
2391	#EF9CBA	29
2392	#EF9CBA	29
2393	#EF9CBA	29
2394	#DE5E93	6
2395	#F9CDDB	9
2396	#FFFEFE	3
2397	#FFFEFE	3
2398	#FFFFFF	2
2399	#FFFFFF	5
2400	#FFFFFF	5
2401	#FFFFFF	2
2402	#FFFFFF	2
2403	#FFFFFF	5
2404	#F9CDDB	9
2405	#FFFEFE	3
2409	#EF9CBA	29
