group	label	showSelected1
1	Cluster 1: 394/394 pixels shown, logFC -0.6 to 0.6, log10(p) 0.0 to 2.5	1
1	Cluster 2: 112/274 pixels shown, logFC -4.6 to 4.4, log10(p) 0.0 to 2.4	2
1	Cluster 3: 90/195 pixels shown, logFC -2.1 to 2.6, log10(p) 0.0 to 6.4	3
1	Cluster 4: 110/126 pixels shown, logFC -1.1 to 0.2, log10(p) 0.0 to 40.7	4
1	Cluster 5: 6/116 pixels shown, logFC -2.2 to 1.6, log10(p) 0.0 to 2.1	5
1	Cluster 6: 2/35 pixels shown, logFC 0.1 to 1.6, log10(p) 1.1 to 120.4	6
1	Cluster 7: 184/184 pixels shown, logFC -1.4 to 0.3, log10(p) 0.0 to 23.6	7
1	Cluster 8: 305/389 pixels shown, logFC -1.2 to 0.3, log10(p) 0.0 to 39.8	8
1	Cluster 9: 54/117 pixels shown, logFC -0.2 to 1.5, log10(p) 0.0 to 76.0	9
1	Cluster 10: 213/213 pixels shown, logFC -1.4 to 1.0, log10(p) 0.0 to 2.6	10
1	Cluster 11: 26/33 pixels shown, logFC 0.0 to 0.2, log10(p) 0.2 to 3.7	11
1	Cluster 12: 32/32 pixels shown, logFC -0.7 to 1.1, log10(p) 0.0 to 1.9	12
1	Cluster 14: 61/61 pixels shown, logFC -1.1 to 0.1, log10(p) 0.1 to 46.6	14
1	Cluster 16: 40/47 pixels shown, logFC -0.2 to 0.3, log10(p) 0.0 to 2.2	16
1	Cluster 17: 6/36 pixels shown, logFC -0.6 to 0.6, log10(p) 0.0 to 1.8	17
1	Cluster 18: 127/127 pixels shown, logFC -1.2 to 0.4, log10(p) 0.0 to 31.3	18
1	Cluster 19: 26/26 pixels shown, logFC -0.9 to -0.7, log10(p) 30.1 to 41.4	19
1	Cluster 21: 41/41 pixels shown, logFC -0.3 to 0.3, log10(p) 0.0 to 1.3	21
1	Cluster 22: 6/6 pixels shown, logFC -0.1 to 0.1, log10(p) 0.1 to 0.3	22
1	Cluster 23: 6/6 pixels shown, logFC -0.9 to -0.8, log10(p) 31.1 to 38.7	23
1	Cluster 24: 30/30 pixels shown, logFC -4.4 to 4.0, log10(p) 0.0 to 1.8	24
1	Cluster 28: 41/41 pixels shown, logFC -0.8 to 0.3, log10(p) 0.6 to 37.0	28
1	Cluster 30: 9/16 pixels shown, logFC -0.3 to 0.3, log10(p) 0.0 to 1.2	30
1	Cluster 31: 109/111 pixels shown, logFC -0.5 to 1.0, log10(p) 0.0 to 2.8	31
1	Cluster 32: 168/168 pixels shown, logFC -1.3 to 1.6, log10(p) 0.0 to 1.3	32
1	Cluster 33: 17/17 pixels shown, logFC -0.3 to 0.6, log10(p) 0.0 to 1.4	33
1	Cluster 34: 101/101 pixels shown, logFC -0.4 to 0.4, log10(p) 0.0 to 1.7	34
1	Cluster 35: 52/52 pixels shown, logFC -0.6 to 0.5, log10(p) 0.0 to 1.3	35
1	Cluster 37: 62/62 pixels shown, logFC -0.3 to 0.2, log10(p) 0.0 to 1.4	37
1	Cluster 39: 8/8 pixels shown, logFC -0.5 to 0.9, log10(p) 0.0 to 0.9	39
1	Cluster 40: 3/3 pixels shown, logFC 0.2 to 0.2, log10(p) 2.9 to 4.0	40
1	Cluster 42: 10/10 pixels shown, logFC -1.0 to 0.2, log10(p) 1.9 to 45.9	42
